Racer_Total Car_ID Year Make Model--Ranking 
8 91 2010 Mitsu Model 1
8 53 2013 Subaru Model 2
8 33 2015 Subaru Model 3
8 175 2006 Honda Model 4
8 140 1995 Mitsu Model 5
8 123 2006 Lexus Model 6
8 106 2007 Acura Model 7
6 Vip 2008 Volkswagen Model 8
6 8 1991 Nissan Model 9
6 65 2009 Honda Model 10
6 6 2016 Volkswagen Model 11
6 52 2007 Mazda Model 12
6 51 2015 Subaru Model 13
6 5 2003 Acura Model 14
6 4341 1992 Nissan Model 15
6 39 2011 Honda Model 16
6 38 2017 Hyundai Model 17
6 37 2015 Subaru Model 18
6 25 2012 Mercedes Model 19
6 232 2018 Subaru Model 20
6 219 2016 Ford Model 21
6 21 2009 Subaru Model 22
6 20 2009 Infiniti Model 23
6 19 2001 Mitsu Model 24
6 187 2007 Subaru Model 25
6 178 2009 Honda Model 26
6 17 2016 Mercedes Model 27
6 145 1990 Volkswagen Model 28
6 14 1990 Nissan Model 29
6 120 2014 Ford Model 30
6 113 2012 Acura Model 31
6 1051 2006 Acura Model 32
6 104 2014 Honda Model 33
6 100 2006 Volvo Model 34
4 99 2014 Honda Model 35
4 98 2012 Mercedes Model 36
4 81 2016 Volkswagen Model 37
4 76 2005 Subaru Model 38
4 7 2014 Nissan Model 39
4 63 2010 Honda Model 40
4 59 2012 Volkswagen Model 41
4 56 2009 Volkswagen Model 42
4 49 1997 Acura Model 43
4 48 2015 Acura Model 44
4 44 2018 Honda Model 45
4 41 2012 Acura Model 46
4 30 2012 Hyundai Model 47
4 207 1993 Honda Model 48
4 183 2005 Volkswagen Model 49
4 182 2012 Volkswagen Model 50
4 181 2003 Volkswagen Model 51
4 180 2011 Volkswagen Model 52
4 18 2015 Audi Model 53
4 172 2014 Bmw Model 54
4 167 2016 Ford Model 55
4 163 2013 Mitsu Model 56
4 162 2014 Nissan Model 57
4 161 2012 Nissan Model 58
4 158 2007 Nissan Model 59
4 142 1993 Toyota Model 60
4 13 2016 Honda Model 61
4 127 2013 Acura Model 62
4 12 1990 Nissan Model 63
4 118 1993 Honda Model 64
4 112 2008 Acura Model 65
4 111 2007 Bmw Model 66
4 11 1991 Nissan Model 67
4 108 2013 Audi Model 68
2 96 2017 Volkswagen Model 69
2 94 2004 Volkswagen Model 70
2 93 2005 Acura Model 71
2 92 2017 Hyundai Model 72
2 89 2014 Honda Model 73
2 88 2008 Honda Model 74
2 78 2015 Mazda Model 75
2 67 2015 Subaru Model 76
2 46 2008 Volkswagen Model 77
2 43 2011 Toyota Model 78
2 35 2016 Honda Model 79
2 24 2013 Subaru Model 80
2 235 2013 Scion Model 81
2 23 1998 Subaru Model 82
2 2 2016 Bmw Model 83
2 189 2012 Toyota Model 84
2 16 2008 Nissan Model 85
2 159 2013 Hyundai Model 86
2 130 2016 Honda Model 87
2 122 2011 Infiniti Model 88
2 121 2012 Acura Model 89
2 114 2010 Volkswagen Model 90
2 103 2010 Acura Model 91
2 10 2001 Nissan Model 92
2 1 2012 Subaru Model 93
18 128 2010 Infiniti Model 94
16 57 2015 Scion Model 95
16 3 2011 Nissan Model 96
16 216 2007 Chrystler Model 97
14 50 2015 Acura Model 98
14 31 2007 Honda Model 99
14 228 2010 Nissan Model 100
12 84 2012 Mercedes Model 101
12 83 2014 Honda Model 102
12 218 2010 Chevy Model 103
12 179 2004 Volkswagen Model 104
12 15 2014 Audi Model 105
12 124 2015 Jeep Model 106
10 9 1996 Nissan Model 107
10 36 2016 Subaru Model 108
10 137 2017 Ford Model 109
10 134 2013 Subaru Model 110
0 95 2004 Infiniti Model 111
0 86 1996 Volkswagen Model 112
0 85 2017 Honda Model 113
0 79 1993 Mazda Model 114
0 75 2012 Subaru Model 115
0 74 2015 Honda Model 116
0 72 2016 Honda Model 117
0 71 2008 Acura Model 118
0 70 2014 Honda Model 119
0 69 2018 Subaru Model 120
0 68 2013 Nissan Model 121
0 66 2010 Volkswagen Model 122
0 64 2004 Subaru Model 123
0 45 2006 Acura Model 124
0 42 2001 Dodge Model 125
0 40 2007 Subaru Model 126
0 4 2007 Honda Model 127
0 34 2010 Honda Model 128
0 28 1995 Bmw Model 129
0 243 2008 Toyota Model 130
0 242 2014 Nissan Model 131
0 241 2007 Toyota Model 132
0 238 1982 Volkswagen Model 133
0 237 1987 Volkswagen Model 134
0 230 2004 Acura Model 135
0 226 2008 Honda Model 136
0 225 2016 Acura Model 137
0 222 2015 Lexus Model 138
0 220 2004 Audi Model 139
0 22 2007 Honda Model 140
0 212 2001 Lexus Model 141
0 211 2004 Acura Model 142
0 200 2016 Subaru Model 143
0 197 2010 Audi Model 144
0 193 2014 Nissan Model 145
0 190 1995 Lexus Model 146
0 186 2012 Volkswagen Model 147
0 185 2013 Volkswagen Model 148
0 184 2010 Volkswagen Model 149
0 177 2005 Volkswagen Model 150
0 176 2014 Mitsu Model 151
0 174 2006 Acura Model 152
0 170 2014 Chevy Model 153
0 156 2014 Volkswagen Model 154
0 153 2017 Subaru Model 155
0 150 2006 Nissan Model 156
0 144 2016 Volkswagen Model 157
0 141 1993 Mazda Model 158
0 138 1990 Mazda Model 159
0 126 2010 Volkswagen Model 160
0 116 2008 Audi Model 161
0 115 2001 Honda Model 162
0 110 2011 Toyota Model 163
0 102 2015 Honda Model 164
0 101 2014 Honda Model 165
0 0 2015 Chevy Model 166
